-2,71-11,426,Westbound,2021-02-08 08:26:27,33.6594505,-84.4783231,84,146900,East Point Station,0,2396
0,34-4,324,Westbound,2021-02-08 08:26:28,33.77023,-84.458987,50,904519,Bankhead Station,7003249,1458
0,24-1,284,Northbound,2021-02-08 08:26:57,33.7532921,-84.3915108,42,102248,Alabama St & Peachtree St,0,1919
2,124-2,99,Southbound,2021-02-08 08:27:07,33.7812991,-84.3867296,12,904731,10th St & Image Ave,0,1576
-3,58-1,398,Southbound,2021-02-08 08:27:12,33.7064883,-84.4572947,81,123140,Avon Ave & Wyland Dr,7012841,1634
0,71-1,424,Eastbound,2021-02-08 08:28:02,33.717402,-84.4259064,83,123900,Oakland City Station,7037069,1812
-7,132-4,111,Southbound,2021-02-08 08:28:04,33.8465633,-84.2132898,121,213255,Hugh Howell Rd & Flinstone Dr,7012222,1503
1,50-2,378,Southbound,2021-02-08 08:28:06,33.769797,-84.519076,73,903320,Hamilton E Holmes Station,7043848,2557
-1,30-5,311,Northbound,2021-02-08 08:28:11,33.9194178,-84.3477426,5,903010,Hammond Dr & Barfield Rd,0,2531
0,47-4,355,Northbound,2021-02-08 08:28:15,33.7546779,-84.4689223,66,903320,Hamilton E Holmes Station,7014092,1659
-2,71-4,429,Westbound,2021-02-08 08:28:16,33.7021751,-84.1739493,86,134052,Hillandale Dr & Hillandale Pk Dr,7012492,1537
0,79-2,467,Northbound,2021-02-08 08:28:44,33.6507855,-84.4483901,89,166900,College Pk Station (South Loop),7032118,7025
-1,39-2,336,Northbound,2021-02-08 08:28:46,33.7115105,-84.382125,55,150154,Jonesboro Rd & Cleveland Ave,7007610,1942
0,51-4,383,Westbound,2021-02-08 08:28:47,33.7560583,-84.3523892,74,901066,Inman Park Station (South Loop),7001901,1628
-3,119-4,63,Westbound,2021-02-08 08:28:58,33.7425204,-84.1248136,116,134106,Stn Mtn-Lithonia Rd & Marbut Rd,7047815,1619
-4,71-2,427,Eastbound,2021-02-08 08:29:01,33.6372524,-84.4919877,84,164002,Centre Pkwy @ Social Security,7013113,7030
1,21-1,269,Southbound,2021-02-08 08:29:02,33.8232216,-84.3696793,39,902149,Buford Hwy & Druid Hills Rd,7049614,1716
-1,6-8,408,Westbound,2021-02-08 08:29:25,33.6563545,-84.5031023,82,165038,Washington Rd & Lakemont Dr,6998714,1935
-4,201-4,263,Northbound,2021-02-08 08:29:39,33.8518129,-84.3186908,39,902150,Buford Hwy & Druid Hills Rd,0,1701
0,221-1,278,Northbound,2021-02-08 08:29:45,33.7889579,-84.3870822,40,901789,Arts Center Station,0,1457
0,25-4,291,Northbound,2021-02-08 08:29:55,33.7533523,-84.3916944,49,102248,Alabama St & Peachtree St,7028507,1868
1,119-5,64,Eastbound,2021-02-08 08:30:02,33.7067014,-84.113885,116,211527,Stn Mtn-Lithonia Rd & Marbut Rd,0,1427
0,117-7,57,Westbound,2021-02-08 08:30:03,33.7696437,-84.2290856,116,903391,Indian Creek Station (East Loop),7030089,1408
-3,186-2,188,Eastbound,2021-02-08 08:30:10,33.7516336,-84.3857504,186,213360,Alabama St & Broad St (5 Pts),7026048,1438
0,30-7,313,Southbound,2021-02-08 08:30:12,33.9197973,-84.379092,5,902868,Hammond Dr & Barfield Rd,0,2582
0,141-6,126,Southbound,2021-02-08 08:30:18,33.7716136,-84.2522287,125,900686,Kensington Station,0,1604
-3,6-3,403,Southbound,2021-02-08 08:30:18,33.7985612,-84.3483402,816,213570,Michael St & Rollins Way,7040556,7050
0,55-7,395,Northbound,2021-02-08 08:30:21,33.7357049,-84.413384,81,114900,West End Station,0,1878
-2,68-6,423,Westbound,2021-02-08 08:30:28,33.6891655,-84.5072017,83,144950,Barge Road Park & Ride,0,1802
-2,21-6,274,Southbound,2021-02-08 08:30:30,33.7499873,-84.3492636,4,901066,Inman Park Station (South Loop),0,1415
-1,120-1,79,Eastbound,2021-02-08 08:30:31,33.7246149,-84.1674605,117,210024,Panola Rd & Redan Rd,7052421,1430
-2,148-1,149,Southbound,2021-02-08 08:30:40,33.6433278,-84.4539733,180,166901,College Pk Station (North Loop),0,1851
-4,181-3,177,Westbound,2021-02-08 08:30:50,33.7082666,-84.2339255,186,210130,Eastside Dr & Old Wesley Chapel,7023681,1505
-1,221-3,280,Northbound,2021-02-08 08:30:53,33.7401488,-84.4023444,40,114900,West End Station,0,1676
0,195-2,240,Eastbound,2021-02-08 08:30:54,33.7647082,-84.3126271,2,904323,East Lake Station (South Loop),7023038,1508
0,192-3,221,Southbound,2021-02-08 08:30:55,33.578227,-84.340894,193,213208,Clayton State University,0,1854
-4,132-3,110,Southbound,2021-02-08 08:31:02,33.8009727,-84.2107197,121,211710,Memorial Dr & N Hairston Rd,0,7053
0,5-11,368,Eastbound,2021-02-08 08:31:03,33.735225,-84.4135276,71,114900,West End Station,7023488,1470
-2,55-3,391,Eastbound,2021-02-08 08:31:03,33.6813891,-84.4166297,78,146900,East Point Station,0,2361
0,121-9,96,Northbound,2021-02-08 08:31:31,33.8143695,-84.4151539,12,901938,Howell Mill Rd & Spring Grove Av,7025108,7015
3,47-6,357,Northbound,2021-02-08 08:31:33,33.6861331,-84.491378,66,144118,N Camp Creek Pkwy & Darrah Dr,0,1660
-2,201-11,258,Westbound,2021-02-08 08:31:34,33.7650691,-84.3973342,26,102258,Alabama St & Broad St (5 Pts),7029950,7020
-4,15-8,158,Eastbound,2021-02-08 08:31:37,33.661288,-84.4736307,181,165056,Washington Rd & Lakemont Dr,7011256,1934
0,58-2,399,Southbound,2021-02-08 08:31:41,33.7536622,-84.3919156,816,102258,Alabama St & Broad St (5 Pts),7044277,7060
-2,15-7,157,Westbound,2021-02-08 08:31:52,33.5694522,-84.5393886,181,213373,Shannon Pkwy & Lancaster Lane,7039435,1849
0,34-8,328,Westbound,2021-02-08 08:31:58,33.7541519,-84.4695512,51,903320,Hamilton E Holmes Station,0,1582
1,143-14,136,Northbound,2021-02-08 08:31:59,33.7743224,-84.2831709,15,904262,Decatur Station,7001706,1608
2,71-8,433,Eastbound,2021-02-08 08:32:01,33.7188279,-84.2278184,86,107284,Columbia Dr & Snapfinger Rd,0,7057
0,34-6,326,Westbound,2021-02-08 08:32:01,33.7717522,-84.4483331,50,904519,Bankhead Station,0,1572
-2,34-2,322,Westbound,2021-02-08 08:32:02,33.7700445,-84.4045353,50,907473,North Ave Station,7023842,1675
-3,196-1,241,Eastbound,2021-02-08 08:32:03,33.7712477,-84.3833236,102,907473,North Ave Station,0,1535
0,55-8,396,Southbound,2021-02-08 08:32:03,33.6780722,-84.4400671,81,146900,East Point Station,7002021,1641
-2,19-4,206,Southbound,2021-02-08 08:32:06,33.5347573,-84.3710257,191,212422,GA 138 & Taylor Rd,0,1877
3,201-12,259,Westbound,2021-02-08 08:32:06,33.8053418,-84.4658644,26,902136,Perry Blvd @ MARTA,7026685,1461
-10,19-6,208,Southbound,2021-02-08 08:32:12,33.6744576,-84.3979624,191,136901,Lakewood Station,7039438,7021
0,110-2,22,Northbound,2021-02-08 08:32:13,33.8592893,-84.3393284,110,905697,Brookhaven Station,0,1456
-5,12-13,70,Westbound,2021-02-08 08:32:19,33.7711783,-84.163081,117,210025,Panola Rd & Redan Rd,0,1520
-2,75-1,451,Northbound,2021-02-08 08:32:21,33.9267021,-84.3791057,87,902656,Roswell Rd & Trowbridge Rd,7010613,2518
-4,5-5,372,Southbound,2021-02-08 08:32:24,33.7689851,-84.5219826,73,905269,Fulton Ind Blvd & MLK Jr Dr,0,1677
1,143-4,143,Northbound,2021-02-08 08:32:26,33.6994931,-84.4182734,172,158248,Sylvan Rd & Cleveland Ave,0,2363
-1,120-6,84,Westbound,2021-02-08 08:32:33,33.790613,-84.280317,117,903587,North Decatur Rd & Church St,0,1602
-4,55-5,393,Eastbound,2021-02-08 08:32:37,33.6887327,-84.364174,78,159282,Cleveland Ave & Browns Mill Rd,0,1943
